Facility Name,State,Condition,Excess Ratio,Predicted Rate,Expected Rate,Number of Readmissions,Variance,Above/Below National Flag
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0458,18.5561,17.7427,25,0.8134,Above National
ANDALUSIA HEALTH,AL,READM-30-PN-HRRP,1.0138,16.0281,15.8097,24,0.2184,Above National
ANDALUSIA HEALTH,AL,READM-30-HF-HRRP,1.0267,22.0685,21.4955,37,0.573,Above National
HUNTSVILLE HOSPITAL,AL,READM-30-CABG-HRRP,0.8656,8.4711,9.7862,18,-1.3151,At/Below National
HUNTSVILLE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.2959,6.3147,4.8727,14,1.442,Above National
HUNTSVILLE HOSPITAL,AL,READM-30-AMI-HRRP,0.9251,10.9967,11.8866,65,-0.8899,At/Below National
HUNTSVILLE HOSPITAL,AL,READM-30-COPD-HRRP,1.0004,17.3653,17.3585,74,0.0068,Above National
HUNTSVILLE HOSPITAL,AL,READM-30-PN-HRRP,0.9728,15.0627,15.4836,200,-0.4209,At/Below National
HUNTSVILLE HOSPITAL,AL,READM-30-HF-HRRP,0.9752,19.115,19.6017,241,-0.4867,At/Below National
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9714,16.5879,17.0766,37,-0.4887,At/Below National
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9817,13.5491,13.8013,17,-0.2522,At/Below National
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9818,21.4155,21.8117,49,-0.3962,At/Below National
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9886,18.2568,18.4675,17,-0.2107,At/Below National
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0925,24.1014,22.0606,75,2.0408,Above National
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.048,19.5145,18.6208,23,0.8937,Above National
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0904,18.7699,17.2133,58,1.5566,Above National
MEDICAL CENTER ENTERPRISE,AL,READM-30-HF-HRRP,1.0285,18.698,18.1807,21,0.5173,Above National
MEDICAL CENTER ENTERPRISE,AL,READM-30-PN-HRRP,1.0465,15.1301,14.4573,26,0.6728,Above National
MEDICAL CENTER ENTERPRISE,AL,READM-30-COPD-HRRP,1.0438,17.6314,16.8909,13,0.7405,Above National
FLOWERS HOSPITAL,AL,READM-30-PN-HRRP,1.0004,15.402,15.3965,47,0.0055,Above National
FLOWERS HOSPITAL,AL,READM-30-CABG-HRRP,1.1755,12.6626,10.7725,16,1.8901,Above National
FLOWERS HOSPITAL,AL,READM-30-COPD-HRRP,0.9486,18.4986,19.5012,20,-1.0026,At/Below National
FLOWERS HOSPITAL,AL,READM-30-HF-HRRP,0.9641,18.3209,19.0039,57,-0.683,At/Below National
FLOWERS HOSPITAL,AL,READM-30-AMI-HRRP,1.0867,12.9663,11.9315,38,1.0348,Above National
ST VINCENT'S BIRMINGHAM,AL,READM-30-AMI-HRRP,1.0215,12.6646,12.3975,20,0.2671,Above National
ST VINCENT'S BIRMINGHAM,AL,READM-30-PN-HRRP,1.037,16.1856,15.608,68,0.5776,Above National
ST VINCENT'S BIRMINGHAM,AL,READM-30-CABG-HRRP,1.1313,12.3784,10.9421,16,1.4363,Above National
ST VINCENT'S BIRMINGHAM,AL,READM-30-COPD-HRRP,0.9772,16.3394,16.7206,12,-0.3812,At/Below National
ST VINCENT'S BIRMINGHAM,AL,READM-30-HF-HRRP,0.9489,18.6041,19.605,78,-1.0009,At/Below National
HIGHLANDS MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9658,15.0548,15.5882,15,-0.5334,At/Below National
RUSSELL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9604,18.9587,19.74,15,-0.7813,At/Below National
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.035,20.7547,20.0534,67,0.7013,Above National
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.1409,17.0661,14.9585,40,2.1076,Above National
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9644,16.0961,16.6898,41,-0.5937,At/Below National
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.2908,5.5052,4.265,13,1.2402,Above National
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.8528,16.7256,19.6126,22,-2.887,At/Below National
ATHENS LIMESTONE HOSPITAL,AL,READM-30-HF-HRRP,0.9989,19.254,19.2744,29,-0.0204,At/Below National
ATHENS LIMESTONE HOSPITAL,AL,READM-30-COPD-HRRP,1.0135,18.2752,18.0322,20,0.243,Above National
ATHENS LIMESTONE HOSPITAL,AL,READM-30-PN-HRRP,1.0464,15.0886,14.4197,30,0.6689,Above National
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0014,19.4598,19.433,54,0.0268,Above National
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.984,15.2954,15.5437,39,-0.2483,At/Below National
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9495,16.4861,17.3629,16,-0.8768,At/Below National
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.018,12.5378,12.316,15,0.2218,Above National
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-PN-HRRP,0.9726,14.9667,15.389,64,-0.4223,At/Below National
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-HF-HRRP,0.9652,18.6643,19.3369,72,-0.6726,At/Below National
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-COPD-HRRP,1.0403,16.9957,16.3374,26,0.6583,Above National
WALKER BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0075,17.8648,17.7313,16,0.1335,Above National
WALKER BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9149,14.13,15.4442,16,-1.3142,At/Below National
WALKER BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0249,19.0211,18.5589,31,0.4622,Above National
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-AMI-HRRP,1.0685,12.921,12.0927,23,0.8283,Above National
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-COPD-HRRP,0.9523,15.5225,16.2994,12,-0.7769,At/Below National
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-HF-HRRP,0.9687,18.541,19.1392,61,-0.5982,At/Below National
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,READM-30-PN-HRRP,1.1009,17.3591,15.7677,56,1.5914,Above National
DCH REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0291,12.5146,12.1604,23,0.3542,Above National
DCH REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9813,18.5476,18.9006,125,-0.353,At/Below National
DCH REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.1361,20.8401,18.3429,73,2.4972,Above National
DCH REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.1388,18.07,15.8669,118,2.2031,Above National
THOMAS HOSPITAL,AL,READM-30-CABG-HRRP,0.9432,9.8544,10.4479,18,-0.5935,At/Below National
THOMAS HOSPITAL,AL,READM-30-PN-HRRP,1.0643,15.7419,14.7909,58,0.951,Above National
THOMAS HOSPITAL,AL,READM-30-HF-HRRP,1.0359,19.9162,19.2259,69,0.6903,Above National
THOMAS HOSPITAL,AL,READM-30-COPD-HRRP,1.063,19.2411,18.1012,19,1.1399,Above National
THOMAS HOSPITAL,AL,READM-30-AMI-HRRP,0.9548,10.8037,11.3148,13,-0.5111,At/Below National
CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.1244,16.4345,14.6165,17,1.818,Above National
CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0714,20.3155,18.9613,15,1.3542,Above National
PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0055,14.6549,14.5749,18,0.08,Above National
PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9504,19.064,20.0595,38,-0.9955,At/Below National
PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9766,17.1164,17.5261,16,-0.4097,At/Below National
GRANDVIEW MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.004,18.6724,18.5979,29,0.0745,Above National
GRANDVIEW MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9621,15.7195,16.3387,51,-0.6192,At/Below National
GRANDVIEW MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.1821,12.8849,10.9002,20,1.9847,Above National
GRANDVIEW MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0208,20.6583,20.2372,125,0.4211,Above National
GRANDVIEW MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0593,14.5933,13.7765,33,0.8168,Above National
GRANDVIEW MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.0159,4.6229,4.5504,18,0.0725,Above National
PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-PN-HRRP,0.925,14.1876,15.3376,15,-1.15,At/Below National
PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-HF-HRRP,1.0382,19.9833,19.2489,34,0.7344,Above National
PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-COPD-HRRP,0.9658,17.1758,17.7835,13,-0.6077,At/Below National
WHITFIELD REGIONAL HOSPITAL,AL,READM-30-HF-HRRP,0.982,20.1405,20.5102,12,-0.3697,At/Below National
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0694,19.7481,18.4657,33,1.2824,Above National
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9485,15.4143,16.2515,57,-0.8372,At/Below National
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9835,19.9434,20.2785,77,-0.3351,At/Below National
MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0816,14.8,13.6835,27,1.1165,Above National
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-HF-HRRP,0.9338,19.2231,20.5857,14,-1.3626,At/Below National
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-PN-HRRP,1.0069,15.3873,15.2823,24,0.105,Above National
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-PN-HRRP,1.0289,16.8791,16.4051,21,0.474,Above National
LAKELAND COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,0.9691,12.5063,12.9055,33,-0.3992,At/Below National
TROY REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0713,18.1344,16.9269,12,1.2075,Above National
NORTH BALDWIN INFIRMARY,AL,READM-30-PN-HRRP,1.1074,15.5449,14.0371,14,1.5078,Above National
ST VINCENT'S ST CLAIR,AL,READM-30-PN-HRRP,1.0309,14.9494,14.5006,21,0.4488,Above National
ST VINCENT'S ST CLAIR,AL,READM-30-HF-HRRP,0.9977,16.9077,16.9474,11,-0.0397,At/Below National
CRESTWOOD MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0566,15.7007,14.8591,58,0.8416,Above National
CRESTWOOD MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0574,20.5165,19.4019,61,1.1146,Above National
CRESTWOOD MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0147,16.631,16.3904,16,0.2406,Above National
CRESTWOOD MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0767,14.1115,13.1056,23,1.0059,Above National
BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0068,13.4205,13.3295,12,0.091,Above National
BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0121,15.4982,15.313,27,0.1852,Above National
BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0234,19.9828,19.5259,30,0.4569,Above National
SPRINGHILL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0617,16.7902,15.8151,17,0.9751,Above National
SPRINGHILL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0317,16.154,15.6582,32,0.4958,Above National
SPRINGHILL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9707,19.2361,19.8175,46,-0.5814,At/Below National
EVERGREEN MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9943,12.6285,12.7009,11,-0.0724,At/Below National
EVERGREEN MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0356,15.6152,15.079,12,0.5362,Above National
BAPTIST MEDICAL CENTER EAST,AL,READM-30-PN-HRRP,1.0643,16.6513,15.645,38,1.0063,Above National
BAPTIST MEDICAL CENTER EAST,AL,READM-30-HF-HRRP,1.039,19.6579,18.9199,54,0.738,Above National
RUSSELLVILLE HOSPITAL,AL,READM-30-PN-HRRP,1.0351,14.9143,14.4086,16,0.5057,Above National
COOSA VALLEY MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0679,15.5005,14.5148,18,0.9857,Above National
COOSA VALLEY MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0049,17.0856,17.0024,14,0.0832,Above National
JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,0.9706,3.9949,4.1157,18,-0.1208,At/Below National
ATMORE COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,1.082,18.7173,17.298,14,1.4193,Above National
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-COPD-HRRP,0.9224,17.9091,19.4162,19,-1.5071,At/Below National
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-PN-HRRP,1.0138,15.2087,15.0018,33,0.2069,Above National
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-HF-HRRP,0.8824,16.9831,19.2457,70,-2.2626,At/Below National
PROVIDENCE ALASKA MEDICAL CENTER,AK,READM-30-AMI-HRRP,0.8554,10.2297,11.9592,38,-1.7295,At/Below National
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-PN-HRRP,0.9206,15.2835,16.6012,36,-1.3177,At/Below National
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-HF-HRRP,0.941,19.0093,20.2012,40,-1.1919,At/Below National
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-COPD-HRRP,0.9378,17.6569,18.8272,13,-1.1703,At/Below National
MAT-SU REGIONAL MEDICAL CENTER,AK,READM-30-AMI-HRRP,1.0116,12.9706,12.8224,20,0.1482,Above National
BARTLETT REGIONAL HOSPITAL,AK,READM-30-HF-HRRP,1.0502,18.3333,17.4569,14,0.8764,Above National
FAIRBANKS MEMORIAL HOSPITAL,AK,READM-30-PN-HRRP,0.9422,13.3971,14.2188,11,-0.8217,At/Below National
ALASKA REGIONAL HOSPITAL,AK,READM-30-AMI-HRRP,1.0241,11.8964,11.6162,18,0.2802,Above National
ALASKA REGIONAL HOSPITAL,AK,READM-30-HF-HRRP,1.0598,20.2395,19.0972,47,1.1423,Above National
ALASKA REGIONAL HOSPITAL,AK,READM-30-PN-HRRP,1.1081,17.0411,15.379,41,1.6621,Above National
ALASKA REGIONAL HOSPITAL,AK,READM-30-COPD-HRRP,1.1236,19.519,17.3713,21,2.1477,Above National
ALASKA REGIONAL HOSPITAL,AK,READM-30-HIP-KNEE-HRRP,1.0117,3.9346,3.8891,21,0.0455,Above National
CENTRAL PENINSULA GENERAL HOSPITAL,AK,READM-30-COPD-HRRP,1.108,20.369,18.3832,26,1.9858,Above National
CENTRAL PENINSULA GENERAL HOSPITAL,AK,READM-30-HF-HRRP,1.138,21.1448,18.5803,47,2.5645,Above National
CENTRAL PENINSULA GENERAL HOSPITAL,AK,READM-30-PN-HRRP,1.0657,16.1002,15.1075,26,0.9927,Above National
ALASKA NATIVE MEDICAL CENTER,AK,READM-30-PN-HRRP,0.9269,13.7958,14.8841,16,-1.0883,At/Below National
ALASKA NATIVE MEDICAL CENTER,AK,READM-30-HF-HRRP,1.0106,18.2445,18.0531,27,0.1914,Above National
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,READM-30-HF-HRRP,0.9896,21.0035,21.2247,61,-0.2212,At/Below National
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,READM-30-PN-HRRP,0.9925,17.299,17.4293,41,-0.1303,At/Below National
TUCSON MEDICAL CENTER,AZ,READM-30-HF-HRRP,1.1036,19.9546,18.082,137,1.8726,Above National
TUCSON MEDICAL CENTER,AZ,READM-30-PN-HRRP,1.0359,15.6468,15.1043,90,0.5425,Above National
TUCSON MEDICAL CENTER,AZ,READM-30-COPD-HRRP,0.9611,16.4104,17.0739,25,-0.6635,At/Below National
TUCSON MEDICAL CENTER,AZ,READM-30-CABG-HRRP,1.008,9.4226,9.3473,11,0.0753,Above National
TUCSON MEDICAL CENTER,AZ,READM-30-HIP-KNEE-HRRP,1.0035,4.3644,4.349,11,0.0154,Above National
TUCSON MEDICAL CENTER,AZ,READM-30-AMI-HRRP,1.214,14.1187,11.6301,49,2.4886,Above National
VERDE VALLEY MEDICAL CENTER,AZ,READM-30-AMI-HRRP,0.9767,12.2336,12.5249,11,-0.2913,At/Below National
VERDE VALLEY MEDICAL CENTER,AZ,READM-30-PN-HRRP,0.8972,12.8689,14.3441,21,-1.4752,At/Below National
VERDE VALLEY MEDICAL CENTER,AZ,READM-30-HF-HRRP,0.8627,17.0527,19.7669,21,-2.7142,At/Below National
ST. MARY'S HOSPITAL,AZ,READM-30-HF-HRRP,0.9513,17.146,18.0238,29,-0.8778,At/Below National
ST. MARY'S HOSPITAL,AZ,READM-30-PN-HRRP,0.9531,14.2265,14.9273,24,-0.7008,At/Below National
ST. MARY'S HOSPITAL,AZ,READM-30-AMI-HRRP,0.976,12.4361,12.7415,21,-0.3054,At/Below National
ST JOSEPH'S HOSPITAL,AZ,READM-30-PN-HRRP,0.942,13.5788,14.4151,25,-0.8363,At/Below National
ST JOSEPH'S HOSPITAL,AZ,READM-30-HF-HRRP,1.1089,20.1024,18.1287,44,1.9737,Above National
ST JOSEPH'S HOSPITAL,AZ,READM-30-AMI-HRRP,0.9803,12.0932,12.3367,16,-0.2435,At/Below National
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-PN-HRRP,1.0222,14.0653,13.76,84,0.3053,Above National
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-COPD-HRRP,1.004,15.5028,15.4412,30,0.0616,Above National
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-HF-HRRP,1.0429,18.741,17.9696,88,0.7714,Above National
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-CABG-HRRP,1.0166,9.5562,9.3998,12,0.1564,Above National
YAVAPAI REGIONAL MEDICAL CENTER,AZ,READM-30-AMI-HRRP,0.8237,9.0299,10.9623,29,-1.9324,At/Below National
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-PN-HRRP,0.9965,15.5691,15.6238,91,-0.0547,At/Below National
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-COPD-HRRP,0.9732,16.3247,16.7735,24,-0.4488,At/Below National
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-HF-HRRP,1.1592,21.7082,18.7262,137,2.982,Above National
YUMA REGIONAL MEDICAL CENTER,AZ,READM-30-AMI-HRRP,0.957,12.9226,13.5037,39,-0.5811,At/Below National
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,READM-30-HF-HRRP,1.0404,19.2658,18.5169,49,0.7489,Above National
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,READM-30-PN-HRRP,0.9301,14.4344,15.5198,35,-1.0854,At/Below National
HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,READM-30-AMI-HRRP,1.0527,12.9153,12.2691,16,0.6462,Above National
BANNER CASA GRANDE MEDICAL CENTER,AZ,READM-30-HF-HRRP,0.9549,17.6465,18.4791,30,-0.8326,At/Below National
BANNER CASA GRANDE MEDICAL CENTER,AZ,READM-30-PN-HRRP,1.0456,15.7416,15.055,48,0.6866,Above National
BANNER CASA GRANDE MEDICAL CENTER,AZ,READM-30-COPD-HRRP,1.0802,15.2054,14.0761,13,1.1293,Above National
VALLEYWISE HEALTH MEDICAL CENTER,AZ,READM-30-HF-HRRP,1.0781,21.2661,19.725,15,1.5411,Above National
FLAGSTAFF MEDICAL CENTER,AZ,READM-30-HF-HRRP,0.9567,18.6774,19.5226,52,-0.8452,At/Below National
FLAGSTAFF MEDICAL CENTER,AZ,READM-30-PN-HRRP,1.0103,15.4253,15.2678,32,0.1575,Above National
FLAGSTAFF MEDICAL CENTER,AZ,READM-30-CABG-HRRP,1.1026,10.5729,9.5889,11,0.984,Above National
FLAGSTAFF MEDICAL CENTER,AZ,READM-30-AMI-HRRP,0.9806,10.9777,11.1948,16,-0.2171,At/Below National
